,MEL.IPI_Pat02.Tumor.SM.4DJZX,MEL.IPI_Pat03.Tumor.SM.4DJZY,MEL.IPI_Pat04.Tumor.SM.4DJZZ,MEL.IPI_Pat06.Tumor.SM.4DK12,MEL.IPI_Pat08.Tumor.SM.4DK14,MEL.IPI_Pat118.Tumor.SM.5X2QV,MEL.IPI_Pat119.Tumor.SM.7459N,MEL.IPI_Pat123.Tumor.SM.5X2R1,MEL.IPI_Pat126.Tumor.SM.5X2R4,MEL.IPI_Pat14.Tumor.SM.53U3C,MEL.IPI_Pat15.Tumor.SM.4DK1B,MEL.IPI_Pat16.Tumor.SM.53U3E,MEL.IPI_Pat19.Tumor.SM.4DK1F,MEL.IPI_Pat20.Tumor.SM.53U3I,MEL.IPI_Pat25.Tumor.SM.4DK1L,MEL.IPI_Pat27.Tumor.SM.4DK1N,MEL.IPI_Pat28.Tumor.SM.4DK1O,MEL.IPI_Pat29.Tumor.SM.4DK1P,MEL.IPI_Pat33.Tumor.SM.4DK1T,MEL.IPI_Pat36.Tumor.SM.53U3X,MEL.IPI_Pat37.Tumor.SM.53U3Y,MEL.IPI_Pat38.Tumor.SM.53U3Z,MEL.IPI_Pat39.Tumor.SM.4DK1Z,MEL.IPI_Pat40.Tumor.SM.4DK21,MEL.IPI_Pat41.Tumor.SM.4DK22,MEL.IPI_Pat43.Tumor.SM.4DK24,MEL.IPI_Pat44.Tumor.SM.4DK25,MEL.IPI_Pat45.Tumor.SM.4DK26,MEL.IPI_Pat46.Tumor.SM.53U48,MEL.IPI_Pat47.Tumor.SM.4DK28,MEL.IPI_Pat49.Tumor.SM.4DK2A,MEL.IPI_Pat50.Tumor.SM.53U69,MEL.IPI_Pat79.Tumor.SM.53U2S,MEL.IPI_Pat80.Tumor.SM.4DK36,MEL.IPI_Pat81.Tumor.SM.4DK37,MEL.IPI_Pat83.Tumor.SM.53U2W,MEL.IPI_Pat85.Tumor.SM.53U2Y,MEL.IPI_Pat86.Tumor.SM.4DK3C,MEL.IPI_Pat88.Tumor.SM.4DK3E,MEL.IPI_Pat90.Tumor.SM.4DK3G,MEL.IPI_Pat91.Tumor.SM.4DK3H,MEL.IPI_Pat98.Tumor.SM.4CU6L
COL8A1,10.8897686,0.493783802,0.333812684,0.145833761,0.267230272,1.636342526,0.062292066,0.064564079,0.399862051,2.149731159,0.202773929,0.036843557,1.57517004,0.408749104,0.157115936,1.931169272,0.039726794,0.211948976,0.60607332,0.251584947,0.225285843,0.413838893,1.103263617,2.575527191,0,5.558591843,0.130160376,0.17437762,7.578716278,0.820819557,0.397057563,0.240817592,0.508680224,0.755254328,2.236208439,0.393898189,2.554816723,1.500570059,0.09478692,0.403342158,1.024448991,0.321394116
COPS6,16.46504974,25.98058128,40.32855225,38.6812439,33.02493286,29.9132061,37.68117142,43.85392761,36.67868423,55.22623444,78.52088165,32.77437973,45.15345383,34.93413162,48.58258057,44.62558365,41.5150528,65.0238266,35.57833099,49.95824051,70.71090698,54.71860504,25.64634514,25.44561577,41.21504974,22.03586197,51.63409805,44.07585526,50.00782394,47.31126785,33.92952728,63.1880188,50.83841705,76.17668915,26.81487465,30.88647461,26.09784317,105.0308685,29.17625046,41.13421631,33.86188889,33.82213211
COQ2,2.624883175,4.036518097,5.805276394,6.582597733,5.5576334,4.741723061,2.554718256,3.876739264,3.565892935,3.496514797,3.532922268,4.814918518,5.635959148,6.728927612,7.919475079,8.47201252,8.787125588,5.537258625,4.987997055,4.726371288,6.490272045,10.16326141,3.200147152,10.20336723,5.728186131,5.813673019,3.372221947,10.08577442,5.840823174,5.204502583,6.577710152,6.784799099,3.841329575,7.55325079,3.365336895,7.800919056,7.140268326,7.737063408,5.167318821,4.854586124,5.01926136,6.682422161
CORO1A,63.59963989,7.132399082,11.87109566,61.8585701,17.40573692,13.21665382,3.733047724,3.111213684,7.278642178,14.35410309,0.89244926,9.773222923,39.35083389,6.326064587,6.936916351,10.6119833,29.1450634,55.11956787,2.498028994,2.633290291,5.664859772,39.10610199,30.39773178,6.105052471,9.351176262,28.4130764,0.680398822,1.141582012,27.17074013,4.519818783,64.87237549,4.084320545,8.88210392,13.79012299,6.516840935,24.06706238,92.04323578,9.149003029,27.8464489,13.53566551,16.46297073,13.22273064
CORO1C,29.85341072,23.01979637,41.42082214,24.88358688,39.25431824,16.01286888,23.0096283,40.17538071,53.43853378,48.27601242,31.6805191,23.63158798,33.71975708,35.40002441,18.33181953,41.96437836,30.6910553,29.3504467,89.05064392,19.62468529,33.72211456,44.25012207,18.19436646,38.49133682,31.56533051,19.84313774,43.43241501,16.61172867,27.0836792,61.52289581,18.16530037,21.66331673,35.42435837,36.85965729,29.02983284,24.49834061,25.75878716,20.20308304,32.28658676,25.14842033,33.21704102,32.23762894
COTL1,6.379478455,1.338267088,7.166031838,16.19090843,5.800235272,2.190722227,0.492536932,2.132656574,2.632556438,5.014775753,3.207617521,1.653154016,10.49889374,2.137865305,2.654402018,3.385600328,3.711885691,6.304017067,4.443953037,29.11494827,4.760862351,12.02675819,2.086331606,3.717344761,1.084437132,3.11971879,5.203172684,6.325449467,17.58757401,5.413396835,5.553515434,1.656768918,4.212677479,4.415514946,7.770836353,3.113080502,12.35796356,15.89325619,3.591541052,3.343000412,4.271751881,5.57136631
COX17,7.425967217,7.283391953,15.37050724,8.907883644,13.22142792,6.457814694,9.508283615,4.471091747,11.5699873,6.15803051,25.93815613,11.37023163,12.63014698,7.760027409,7.136070252,10.62978268,13.06184006,7.727674484,15.33294201,9.253417969,14.31313992,11.46131992,4.081276894,11.39495277,3.141865969,7.097830296,7.268751621,3.942952871,5.18208456,10.22355747,8.082927704,7.059918404,11.18652248,12.7460413,8.418246269,6.870139599,7.404374123,10.197752,7.068444252,7.923428059,6.150623798,12.30998611
CPEB4,2.908475637,4.654564858,2.178741455,7.998541355,5.321845532,3.727671862,7.898339272,6.755625725,4.929060936,2.377875805,5.347939968,2.81673789,4.051246643,9.187849045,9.744392395,6.3021245,8.365519524,4.449792385,8.565135956,2.257160664,2.869125366,4.621791363,6.246104717,3.9504776,7.899178505,4.521868229,9.235333443,4.024810791,1.74094367,3.078249455,8.934550285,2.297849655,3.626742363,3.314305544,5.019767284,12.50109577,4.732067585,5.797328949,7.830927849,9.683421135,5.958353519,7.370704174
CPVL,19.19989395,13.43392277,34.53411865,26.95088196,27.1246376,46.80688858,8.678880692,4.267555714,28.85938454,11.81456184,9.75463295,6.095327377,30.05011368,19.30295563,12.33069706,62.52868271,21.92212486,14.78275776,18.09272003,1.320845962,19.10009003,47.63209915,40.95685959,16.94464111,33.30236816,50.27270889,0.842874289,2.694858313,11.9489069,4.150214672,25.16947556,5.50998497,3.803708792,11.10962582,13.19955826,39.24572754,28.78181076,11.3932724,15.1889143,34.3807106,15.96084976,5.252325535
CSF1R,108.4812851,18.26228142,16.56209564,52.80308914,17.19017029,21.9750576,5.246948242,5.496953011,7.277103901,19.09181404,1.056225061,9.479911804,57.00230408,12.28509426,18.4927845,20.04219818,14.73634243,20.39260864,3.610304833,3.035464525,8.383937836,26.10212898,43.88240051,19.44176102,15.63359642,73.05082703,2.112730265,0.870291174,66.6857605,8.81990242,38.8286972,6.883505821,6.576015472,15.70609856,13.62096596,11.67781162,91.53108978,29.28582954,21.05571556,10.10561085,37.4608078,18.54793358
CTNNA1,34.95997238,57.74544525,40.68371201,35.78609467,117.7196045,35.31878662,27.72295952,75.23947906,88.12911224,63.85014725,31.89364624,51.93227768,53.08424759,49.7178421,45.64119339,60.72913742,64.61508179,28.59808731,64.75335693,40.91999054,42.09595871,45.59901047,29.75015831,34.68185806,38.93968582,35.57873154,52.18393707,38.46073532,79.04216766,39.10968781,39.36023331,19.68759537,53.64345932,56.32395935,103.9534531,55.61023331,50.60190964,68.52368164,34.47406387,35.48078537,51.76506424,38.69986343
CTNNB1,72.52848816,128.4228821,459.2631836,140.9395294,215.484848,253.7441864,557.7099609,181.9330444,493.9284058,115.7198563,303.369751,428.6264038,246.6369934,253.29599,274.866333,232.1993713,294.7503967,213.1775055,665.2506104,288.8499146,145.1042633,260.7008667,106.347641,371.9691162,324.4612427,157.7672424,372.3253784,159.4250641,239.6334686,498.1486816,189.7502136,310.6443481,252.9777222,351.3056335,434.276947,186.9883118,85.6795578,205.8915558,277.8149109,311.9385986,706.6588135,232.2244873
CTSC,21.97896576,22.28359604,17.27768898,46.02281952,18.78329659,32.80355453,18.81353188,18.9102726,17.2861042,20.60574722,13.64420605,17.77744102,37.28872681,32.46095276,29.48098183,35.33281326,33.93857574,25.58251953,14.31220341,19.32226753,32.90515518,75.88715363,39.99533844,24.07506943,24.12387848,80.83414459,10.30421257,8.556355476,31.77321053,9.551234245,52.17500305,12.97363949,10.1623354,26.54771233,25.82623863,23.88246918,34.75635529,24.43405151,47.10424423,17.52492523,24.2255249,16.74277115
CTSL1,153.6860199,27.21040344,57.80477524,32.94664764,79.30030823,40.7048912,25.57065582,5.389613152,82.89304352,78.62820435,137.7207794,125.5896454,70.25565338,61.67549896,84.2334137,106.3902283,82.25144196,50.9801445,194.9041443,21.11767578,63.25969315,158.5093842,36.74650955,52.91819763,132.3795319,40.63470459,1.250069022,38.89861679,37.16572189,149.6283264,58.1211319,28.32107544,25.39408684,54.38789368,58.19847107,53.7182312,70.81183624,42.00710297,107.1599503,42.33625412,40.80913162,99.26991272
