"sampleID","subgroup1","subgroup2","prob1","prob2"
"TCGA.AB.2836","4","3","0.507158637046814","0.4562443792819977"
"TCGA.AB.2837","4","3","0.8466761112213135","0.15259738266468048"
"TCGA.AB.2841","3","4","0.7473917603492737","0.24015404284000397"
"TCGA.AB.2843","2","4","0.8773440718650818","0.09627821296453476"
"TCGA.AB.2846","4","3","0.8100103139877319","0.17375001311302185"
"TCGA.AB.2847","3","2","0.8382423520088196","0.13258861005306244"
"TCGA.AB.2848","3","4","0.7780478596687317","0.2178955376148224"
"TCGA.AB.2849","3","4","0.564806342124939","0.40949735045433044"
"TCGA.AB.2851","3","4","0.5422854423522949","0.454649418592453"
"TCGA.AB.2853","4","3","0.9033958911895752","0.0892905443906784"
"TCGA.AB.2854","3","2","0.7152525782585144","0.23068273067474365"
"TCGA.AB.2856","4","3","0.8261240124702454","0.0991220474243164"
"TCGA.AB.2860","2","3","0.839665949344635","0.08325023204088211"
"TCGA.AB.2867","3","2","0.8713422417640686","0.10152364522218704"
"TCGA.AB.2868","3","2","0.7165021896362305","0.1987428367137909"
"TCGA.AB.2869","4","3","0.6313211917877197","0.35594770312309265"
"TCGA.AB.2870","4","3","0.8295283317565918","0.146779865026474"
"TCGA.AB.2872","3","4","0.6182178854942322","0.36399415135383606"
"TCGA.AB.2873","3","4","0.7511964440345764","0.22022046148777008"
"TCGA.AB.2875","3","2","0.8217272758483887","0.12428548187017441"
"TCGA.AB.2877","3","4","0.5069536566734314","0.45971688628196716"
"TCGA.AB.2880","4","3","0.8787339925765991","0.1155402809381485"
"TCGA.AB.2881","3","4","0.8992505073547363","0.0488126203417778"
"TCGA.AB.2882","3","2","0.8259020447731018","0.1171952486038208"
"TCGA.AB.2886","3","4","0.7857617139816284","0.13911044597625732"
"TCGA.AB.2887","4","3","0.7570645809173584","0.19554421305656433"
"TCGA.AB.2889","4","3","0.8117415904998779","0.17525644600391388"
"TCGA.AB.2891","4","3","0.8752361536026001","0.07851993292570114"
"TCGA.AB.2896","4","3","0.9028396010398865","0.08485583961009979"
"TCGA.AB.2897","3","4","0.6976084113121033","0.29176709055900574"
"TCGA.AB.2901","4","3","0.8274354934692383","0.16712802648544312"
"TCGA.AB.2908","2","3","0.727208137512207","0.21842016279697418"
"TCGA.AB.2909","4","3","0.8504430055618286","0.138127401471138"
"TCGA.AB.2913","4","3","0.8770315051078796","0.11771424114704132"
"TCGA.AB.2914","4","3","0.913817822933197","0.07602744549512863"
"TCGA.AB.2917","4","3","0.8672972917556763","0.11866668611764908"
"TCGA.AB.2919","3","4","0.7566535472869873","0.21914900839328766"
"TCGA.AB.2921","4","3","0.7456554174423218","0.18692147731781006"
"TCGA.AB.2928","3","4","0.6384310722351074","0.35522687435150146"
"TCGA.AB.2929","3","4","0.6283222436904907","0.3474145829677582"
"TCGA.AB.2934","3","4","0.7418445944786072","0.2548905611038208"
"TCGA.AB.2936","3","2","0.9094909429550171","0.0406157486140728"
"TCGA.AB.2937","3","4","0.8037922382354736","0.16123755276203156"
"TCGA.AB.2938","2","3","0.8801455497741699","0.09313928335905075"
"TCGA.AB.2939","4","3","0.5965931415557861","0.4006720781326294"
"TCGA.AB.2941","4","3","0.7217417359352112","0.2712830901145935"
"TCGA.AB.2942","3","4","0.9038615226745605","0.08897744119167328"
"TCGA.AB.2943","3","4","0.8806319236755371","0.0902874618768692"
"TCGA.AB.2944","3","4","0.7046210169792175","0.28563424944877625"
"TCGA.AB.2946","4","3","0.5068893432617188","0.4141157865524292"
"TCGA.AB.2948","3","4","0.8278707265853882","0.1087261363863945"
"TCGA.AB.2949","4","3","0.747776985168457","0.23713409900665283"
"TCGA.AB.2954","4","3","0.8888412117958069","0.10600130259990692"
"TCGA.AB.2966","4","3","0.888131856918335","0.07997564971446991"
"TCGA.AB.2967","4","3","0.7052177786827087","0.2686680257320404"
"TCGA.AB.2970","3","4","0.6420721411705017","0.32150065898895264"
"TCGA.AB.2971","3","4","0.8828941583633423","0.050276271998882294"
"TCGA.AB.2976","4","3","0.8571562767028809","0.14044609665870667"
"TCGA.AB.2982","3","2","0.746148943901062","0.23893114924430847"
"TCGA.AB.2984","4","3","0.5949515700340271","0.3981904685497284"
"TCGA.AB.2991","3","2","0.8557510375976562","0.10922406613826752"
"TCGA.AB.2996","4","3","0.6158921718597412","0.356637179851532"
"TCGA.AB.3006","4","3","0.8451769948005676","0.1394943743944168"
"TCGA.AB.3007","3","2","0.8799471855163574","0.11113107204437256"
"TCGA.AB.3008","4","3","0.7114959955215454","0.22388973832130432"
"TCGA.AB.3009","3","4","0.6930504441261292","0.2573172450065613"
"TCGA.AB.3011","3","4","0.8436516523361206","0.10388951748609543"
"TCGA.AB.3012","4","3","0.604658305644989","0.38900068402290344"
"TCGA.23.2078","1","2","0.6185085773468018","0.37829285860061646"
"TCGA.24.1425","1","2","0.8500407934188843","0.1246127188205719"
"TCGA.24.1434","1","4","0.6427966952323914","0.3256685137748718"
"TCGA.24.1463","4","1","0.8480761647224426","0.10885914415121078"
"TCGA.24.2289","2","4","0.83466637134552","0.1460622251033783"
"TCGA.24.2293","2","1","0.7986711859703064","0.1881362944841385"
"TCGA.25.1626","2","1","0.8692687153816223","0.11790938675403595"
"TCGA.36.1576","1","2","0.7121962904930115","0.2758292853832245"
"TCGA.57.1585","1","3","0.8491078615188599","0.07869019359350204"
"TCGA.61.2003","1","2","0.856130063533783","0.111440509557724"
