"sampleID","prob1","prob2","prob3","prob4","prob5","prob6"
"TCGA.BL.A0C8","0.0030236674938350916","0.002095799893140793","3.088047151322826e-7","0.9948766827583313","0.0000030089347546891076","5.751388698627125e-7"
"TCGA.BT.A20V","0.0014387392438948154","0.998417854309082","1.2168813179336269e-10","0.000143291283166036","5.597307506377547e-8","1.5967354105583809e-9"
"TCGA.BT.A20X","1.8241712496092077e-7","0.9999997615814209","9.511420378518695e-14","8.14020628681078e-10","1.9083521221596733e-11","8.002642602408794e-13"
"TCGA.BT.A2LA","0.9904100894927979","0.009364859201014042","3.6590741103736946e-8","0.00022406417701859027","9.552998108119937e-7","1.3304867430008471e-8"
"TCGA.C4.A0EZ","0.9995537400245667","0.000001553227662043355","8.194302125730246e-8","0.0004434864385984838","0.0000010959296332657686","2.9484426011805454e-9"
"TCGA.CF.A9FM","0.0025020462926477194","0.000006986088465055218","0.06092383712530136","0.9364004731178284","0.0001602653064765036","0.000006404598934750538"
"TCGA.DK.A6B2","0.0001498656638432294","0.9998499155044556","7.851574390649319e-10","5.3742347461138706e-8","2.9332897000244884e-8","7.014980951680627e-8"
"TCGA.FD.A3B4","1.8007327184932365e-8","1","1.7498077775146906e-14","1.3395551161365926e-11","6.260957030601588e-12","2.2513386554318116e-12"
"TCGA.FD.A3N6","7.941140189871021e-9","0.9999998807907104","3.321782139718149e-13","8.229982739749175e-8","7.986656475056364e-11","3.1694020238143272e-12"
"TCGA.G2.A2EL","0.0036308439448475838","0.9952532052993774","1.120613490890321e-9","0.0011126716854050756","0.0000032345712952519534","9.328187527968268e-11"
"TCGA.HQ.A2OF","0.9831421375274658","0.00000156312069066189","0.000025927018214133568","0.016823716461658478","0.0000065749486566346604","1.1215755790772164e-7"
"TCGA.FA.8693","1.2337936894368795e-8","0.9999995231628418","1.6451184858823353e-10","4.399113890940498e-7","8.152079011836122e-9","5.868584507240371e-10"
"TCGA.FA.A4BB","2.0572029413301607e-8","0.9999958276748657","1.411835341968981e-7","0.0000031513422982243355","8.336810424225405e-7","1.913985858692513e-9"
"TCGA.FA.A4XK","0.00018793801427818835","0.9984436631202698","4.981946517546021e-7","0.001346662756986916","0.000018012744476436637","0.0000032345774343411904"
"TCGA.FA.A6HN","1.0703780084497794e-9","0.9999545812606812","0.000003584729483918636","0.0000365280284313485","0.0000052754107855434995","3.612806764863308e-8"
"TCGA.FA.A6HO","2.6434365807403992e-9","0.9999545812606812","5.6955283156412406e-8","0.00003973305501858704","0.000005459016847453313","1.1185108661493359e-7"
"TCGA.FA.A7DS","5.907241984459688e-8","0.9999990463256836","7.674480495545311e-10","8.447829031865695e-7","3.800980863388759e-8","3.413007931829526e-10"
"TCGA.FA.A7Q1","0.000003115434765277314","0.9999428987503052","1.651888510423305e-7","0.00005302923091221601","6.963258556424989e-7","3.980527196745243e-8"
"TCGA.FA.A82F","0.000008387876732740551","0.9999841451644897","1.0676050976599072e-7","0.000006092883722885745","0.0000012239294164828607","3.0845413334645855e-8"
"TCGA.FA.A86F","2.20468288070208e-9","0.9999998807907104","1.5689574639488058e-10","9.326787875352238e-8","3.032964457361231e-8","4.771124467728427e-11"
"TCGA.FF.8041","1.3203540483175402e-9","1","1.8208561047838856e-10","4.1534782724284014e-8","2.724087622141269e-9","8.103520632296579e-11"
"TCGA.FF.8042","3.9273302832043555e-7","0.9999939203262329","6.496350692941633e-7","0.000004698993961937958","1.6169646244179603e-7","1.3416874367067066e-7"
"TCGA.FF.8043","0.0000728917439118959","0.9999178647994995","0.0000032926761832641205","0.000004588094725477276","6.175826001708629e-7","7.482377100131998e-7"
"TCGA.FF.8046","7.727770707788295e-7","0.9999974966049194","2.5188020558175594e-8","0.0000016508550970684155","7.323930617531005e-8","2.0561461422374805e-9"
"TCGA.FF.8047","1.2612174771220452e-7","0.9999986886978149","7.172174854019886e-9","8.746172852625023e-7","3.077659016526013e-7","2.9687749480977743e-10"
"TCGA.FF.8061","0.0000010603484952298459","0.9999630451202393","2.836181245413627e-8","0.000035308548831380904","5.468084509629989e-7","6.877042935116151e-9"
"TCGA.FF.8062","2.3529391768306596e-8","0.9999984502792358","4.955300170195187e-9","0.0000014278773505793652","6.781536399103061e-8","1.7249565109622722e-9"
"TCGA.FF.A7CQ","2.1926949145267827e-9","0.9999910593032837","2.8305510713089177e-10","0.000008929181603889447","5.9303602029103786e-8","3.98712840521398e-10"
"TCGA.FF.A7CR","1.8689765290957894e-9","0.9999817609786987","6.255206574934391e-9","0.000018194701624452136","7.965818582533757e-8","1.379293457226538e-9"
"TCGA.FF.A7CW","1.2455961950763594e-7","0.9999980926513672","1.2256811565691805e-8","0.0000012587252058438025","4.5488337718779803e-7","1.7501886051540794e-10"
"TCGA.FF.A7CX","0.000002631620418469538","0.9999915361404419","1.737008687996422e-7","0.0000053228577598929405","3.1633805974706775e-7","1.5523502483461016e-9"
"TCGA.FM.8000","0.0000018670970121092978","0.9999467134475708","6.224727826520393e-7","0.000050220423872815445","3.8412173353208345e-7","1.3721121661092184e-7"
"TCGA.G8.6324","1.8360297726616182e-9","0.9999402761459351","0.000011042428923246916","0.000048279114707838744","1.1376253894468391e-7","2.2856953307837102e-7"
"TCGA.G8.6325","1.697576745840479e-9","0.9999991655349731","1.2282808370400744e-7","7.236093324536341e-7","6.4235465835338346e-9","4.652200846777532e-9"
"TCGA.G8.6326","4.916042328773074e-8","0.9978141784667969","0.0003799221885856241","0.0016909078694880009","0.000003925691544282017","0.0001109695149352774"
"TCGA.G8.6906","3.385316063031496e-7","0.9999855756759644","4.27413823445022e-7","0.000013124725228408352","4.1488678448331484e-7","6.22554878759729e-8"
"TCGA.G8.6907","0.00004308720963308588","0.999042809009552","0.00019768619677051902","0.0006619261694140732","0.00004791242827195674","0.000006601509085157886"
"TCGA.G8.6909","6.961369675151374e-11","0.9999997615814209","3.4962410744299177e-10","2.6817980369742145e-7","3.9545673402585635e-9","9.568296155393341e-11"
"TCGA.G8.6914","1.15167244629788e-8","0.9999991655349731","2.436769008795636e-9","7.184959827100101e-7","2.9594225736673252e-8","1.5579839640622595e-8"
"TCGA.GR.7351","0.0000016723762428227928","0.9999644756317139","1.7756089221165894e-7","0.00003329286118969321","3.8603599250564e-7","7.955473613208142e-9"
"TCGA.GR.7353","1.7670143392933824e-7","0.9999980926513672","4.794644041794527e-7","0.0000011961983545916155","7.896046128053058e-8","2.2425702184136753e-8"
"TCGA.GR.A4D4","0.00009011674410430714","0.9994669556617737","0.0000035173916330677457","0.0003713200567290187","0.00002682706508494448","0.00004126175554119982"
"TCGA.GR.A4D5","1.6591040719049488e-7","0.9999908208847046","8.61700577559077e-9","0.000008641938620712608","3.472012508609623e-7","4.636326167428706e-8"
